__spiritual_bouquet_1	_type_of	__sympathy_card_1
__spiritual_bouquet_1	_synset_domain_topic	__church_of_rome_1
__absorption_5	_type_of	__attention_4
__absorption_5	_has_instance	__centering_1
__avenge_1	_type_of	__penalise_1
__avenge_1	_has_instance	__get_back_3
__chamaecyparis_lawsoniana_1	_member_holonym	__chamaecyparis_1
__cutter_3	_type_of	__boat_1
__solar_array_1	_part_of	__artificial_satellite_1
__solar_array_1	_has_part	__photovoltaic_cell_1
__sway_2	_has_instance	__oscillate_2
__issuance_1	_type_of	__provision_3
__literary_critic_1	_type_of	__critic_1
__literary_critic_1	_has_instance	__ciardi_1
__literary_critic_1	_has_instance	__h__l__mencken_1
__literary_critic_1	_has_instance	__i__a__richards_1
__literary_critic_1	_has_instance	__sir_stephen_harold_spender_1
__literary_critic_1	_has_instance	__carl_clinton_van_doren_1
__genus_xylomelum_1	_member_holonym	__family_proteaceae_1
__genus_xylomelum_1	_member_meronym	__native_pear_1
__house_of_god_1	_type_of	__building_1
__house_of_god_1	_has_instance	__masjid_1
__house_of_god_1	_has_instance	__mosque_1
__house_of_god_1	_has_instance	__shrine_2
__house_of_god_1	_has_instance	__synagogue_1
__american_arborvitae_1	_member_holonym	__genus_thuja_1
__house_of_representatives_1	_type_of	__house_4
__attalea_funifera_1	_type_of	__feather_palm_1
__attalea_funifera_1	_member_holonym	__attalea_1
__attalea_funifera_1	_has_part	__coquilla_nut_1
__roof_3	_part_of	__auto_1
__roof_3	_part_of	__autobus_1
__roof_3	_part_of	__motortruck_1
__sombrero_1	_subordinate_instance_of	__island_1
__sombrero_1	_part_of	__federation_of_saint_kitts_and_nevis_1
__irrigation_2	_has_instance	__clyster_1
__house_3	_type_of	__abode_1
__house_3	_has_instance	__cabin_2
__house_3	_has_instance	__lodging_house_1
__house_3	_has_instance	__maisonette_2
__house_3	_has_instance	__hall_10
__house_3	_has_part	__porch_1
__house_3	_has_instance	__residence_2
__house_3	_has_instance	__stash_house_1
__house_3	_has_instance	__villa_2
__innovate_1	_type_of	__initiate_2
__innovate_1	_has_instance	__debut_1
__corticospinal_tract_1	_part_of	__central_nervous_system_1
__corticospinal_tract_1	_has_part	__basal_ganglion_1
__ski_run_1	_type_of	__trail_6
__ski_run_1	_has_instance	__piste_1
__batoko_palm_1	_type_of	__bush_1
__family_graminaceae_1	_type_of	__liliopsid_family_1
__family_graminaceae_1	_member_meronym	__aegilops_1
__family_graminaceae_1	_member_meronym	__agropyron_1
__family_graminaceae_1	_member_meronym	__agrostis_1
__family_graminaceae_1	_member_meronym	__andropogon_1
__family_graminaceae_1	_member_meronym	__bouteloua_1
__family_graminaceae_1	_member_meronym	__buchloe_1
__family_graminaceae_1	_member_meronym	__cenchrus_1
__family_graminaceae_1	_member_meronym	__chloris_1
__family_graminaceae_1	_member_meronym	__dactylis_1
__family_graminaceae_1	_member_meronym	__dactyloctenium_1
__family_graminaceae_1	_member_meronym	__eragrostis_1
__family_graminaceae_1	_member_meronym	__genus_holcus_1
__family_graminaceae_1	_member_meronym	__genus_lolium_1
__family_graminaceae_1	_member_meronym	__genus_muhlenbergia_1
__family_graminaceae_1	_member_meronym	__genus_oryza_1
